412.23,7.77,4.56,5665.98,1.21
369.61,9.53,6.67,6433.56,1.11
370.53,7.95,6.77,6439.76,1.08
445.89,10.94,4.90,6088.45,0.90
373.94,8.19,6.77,6439.76,1.07
435.54,11.64,5.02,4735.12,0.76
379.12,8.43,6.76,7167.33,1.11
401.86,10.52,6.21,6134.99,1.01
379.93,8.38,6.73,7172.89,1.11
396.75,8.90,5.42,5593.05,1.09
411.80,7.95,4.64,6447.76,1.11
405.31,8.43,4.69,6466.83,1.12
408.00,9.87,4.75,6454.38,1.11
422.87,8.16,5.83,6581.23,1.13
413.32,8.31,5.85,6581.23,1.09
377.11,8.49,6.76,7167.33,1.10
412.34,12.59,5.98,7325.10,0.74
423.39,13.44,5.50,6281.10,0.74
340.67,18.88,5.44,5485.87,0.29
394.01,9.95,5.74,5551.34,0.96
411.48,8.76,4.71,5334.64,1.06
406.13,9.02,4.79,6262.20,0.99
432.33,8.33,6.45,7253.49,1.10
452.49,8.36,6.53,7065.60,1.14
389.44,9.52,5.26,5570.40,0.99
400.20,10.05,5.16,5089.89,0.96
432.83,12.34,5.07,4735.12,0.69
381.51,8.34,6.73,7196.01,1.16
343.28,13.48,5.21,4735.12,0.31
376.27,8.60,6.76,7167.33,1.10
404.58,9.30,4.74,5332.29,1.08
397.21,7.72,5.37,5666.55,1.11
374.63,8.27,6.77,7167.33,1.09
434.18,11.84,4.98,5585.63,0.85
415.67,11.94,5.33,5682.68,0.68
418.84,12.03,5.47,5539.75,0.84
378.91,18.93,5.17,5337.11,0.51
385.92,7.76,6.75,7167.33,1.13
329.47,18.72,6.12,5839.79,0.29
376.01,8.28,6.76,7167.33,1.11
394.85,8.14,4.72,4735.12,1.05
395.67,8.79,4.77,4735.12,1.01
391.22,8.75,4.92,4913.36,1.02
425.04,9.95,4.76,5655.45,1.10
393.28,9.33,5.10,5264.01,1.01
423.27,11.16,4.99,4735.12,0.79
403.65,8.50,5.50,5556.59,1.10
379.54,8.45,6.74,7204.50,1.15
376.58,11.95,6.80,7167.33,0.77
376.42,8.25,6.71,6448.05,1.12
400.20,7.41,4.60,4735.12,1.16
395.25,8.26,5.07,5726.03,1.09
412.71,9.49,4.77,6441.50,1.10
459.96,8.50,6.63,6811.20,1.14
408.57,8.85,5.39,5599.63,1.28
435.45,8.80,5.53,7379.34,1.48
376.37,8.54,6.77,6702.93,1.08
409.05,11.65,5.83,6695.53,1.15
423.67,16.46,5.98,6637.69,0.75
679.32,14.87,6.71,6702.93,0.53
397.32,7.23,4.65,5515.81,1.13
400.60,8.86,4.75,6514.56,1.08
410.68,7.97,4.66,5670.81,1.07
399.99,8.28,4.67,5515.81,1.12
394.85,7.42,5.29,5991.02,1.13
400.10,8.65,5.69,5462.85,1.06
375.13,7.67,6.76,7167.33,1.12
425.28,13.00,5.10,4735.12,0.65
685.78,17.58,5.78,5586.45,0.40
396.95,8.60,4.73,4735.12,1.05
407.88,8.99,4.66,6636.71,1.21
411.50,9.71,4.84,4735.12,0.95
405.21,9.13,4.86,6549.93,1.21
421.86,10.87,5.02,6713.33,1.03
395.18,10.32,5.38,5516.11,0.96
398.65,10.73,5.42,5844.10,1.03
436.07,12.91,5.09,6421.37,0.68
425.32,12.01,5.20,5474.53,0.76
328.95,15.42,5.57,6943.14,0.20
402.88,7.09,4.58,4735.12,1.17
410.49,8.03,4.59,6494.58,1.24
398.80,8.54,4.75,4735.12,1.03
398.93,8.48,4.72,4926.46,1.12
405.72,7.96,4.67,6433.88,1.17
401.59,8.28,4.98,5158.52,1.18
439.48,8.45,6.50,6180.67,1.09
445.14,8.43,6.48,6180.67,1.13
419.77,10.20,6.29,6855.77,0.98
386.91,15.32,5.23,5077.64,0.52
398.85,8.35,4.73,4824.04,1.08
393.99,7.35,4.72,4925.95,1.12
398.63,7.65,4.64,4735.12,1.13
406.79,7.81,4.65,6387.95,1.09
398.90,8.46,4.79,5808.48,1.16
410.10,8.57,5.90,7036.75,1.12
451.52,8.50,6.42,7142.59,1.19
435.81,10.85,4.95,5455.49,0.81
560.03,12.44,6.34,6318.47,0.83
414.28,17.18,5.81,6043.20,0.63
400.12,7.70,4.65,4735.12,1.11
394.92,9.12,4.95,5316.81,0.99
412.37,8.83,4.92,5188.98,0.94
449.07,8.00,6.61,6215.95,1.11
421.87,10.78,5.03,5980.19,0.89
423.82,12.78,5.50,5335.02,0.78
419.39,14.12,5.98,5601.25,0.61
387.27,8.30,6.76,6470.72,1.10
418.58,13.19,5.66,5334.88,0.68
333.65,18.53,5.33,4867.46,0.29
407.15,7.54,4.65,5165.25,1.12
400.56,7.74,4.64,4735.12,1.12
393.86,8.32,4.71,4735.12,1.07
397.17,8.18,4.71,4738.76,1.07
397.24,7.94,4.92,4939.44,1.12
404.23,9.68,4.85,4886.76,0.99
396.04,9.03,5.13,5390.53,1.02
396.52,8.13,5.21,5745.81,1.12
423.46,12.50,5.42,5525.67,0.73
420.19,13.37,5.31,5274.78,0.65
375.1,7.84,6.75,6656.49,1.12
399.96,7.76,4.71,5005.82,1.13
425.76,8.74,6.2,6688.94,1.07
409.64,12.15,5.65,6969.81,0.77
399.26,8.61,4.7,6529.59,1.14
403.9,8.67,4.76,6580.67,1.02
416.91,12.64,6.17,6026.9,0.81
404.27,8.31,4.8,5142.91,1.18
373.23,17.05,5.7,7052.3,0.41
431.23,13.57,5.34,5158.93,0.65
426.97,15.11,5.95,6472.66,0.78
409.09,12.23,5.86,6911.72,1.03
407.82,9.53,5.22,6539.82,1.27
378.37,18.15,5.36,5828.12,0.44
415.1,9.22,5.44,7055.22,1.18
418.38,10.01,4.96,6984.23,1.11
404.26,9.67,4.97,5409.93,1.11
400.91,13.6,5.73,5927.94,0.62
408.48,8.77,5.08,5748.77,1.22
414.13,8.09,4.68,5161.96,1.31
410.14,9.02,4.61,5098.62,1.29
406.64,9.14,5.01,5324.74,1.19
407.79,10.82,5.11,5353.22,1.11
435.8,10.97,4.88,5055.16,1
421.98,9.2,4.7,5055.16,1.18
400.5,10.76,5.41,5689,1.03
420.19,13.36,5.92,5994.65,0.78
453.27,8.77,6.35,6623.52,1.15
408.85,8.11,4.58,5600.57,1.25
396.37,7.76,4.69,5022.45,1.12
684.37,15.48,6.61,6377.84,0.4
529.2,7.67,6.74,6377.84,1.16
412.04,8,4.54,6082.97,1.29
402.33,9.95,5.21,6304.32,1.06
402.05,9.3,4.83,6001.47,0.95
433.57,8.37,6.24,6904.6,1.16
398.83,8.92,5.13,5586.87,1.14
391.66,14.08,5.18,5367.77,0.49
455.8,8.04,6.54,6773.02,1.13
399.87,9.22,4.82,4983.71,0.96
428.89,9.09,6.19,6265.43,1.14
406.85,8.18,4.71,5297.59,1.06
386.31,7.98,6.75,6882.38,1.17
378.38,8.41,6.75,6882.38,1.17
439.32,8.25,6.54,6988.51,1.14
399.62,8.89,4.8,6087.91,0.98
424.53,10.98,5.08,5028.13,0.82
414,11.17,5.19,5373.59,0.87
409.53,12.62,5.75,6115.88,0.78
360.61,17.26,5.26,5003.89,0.46
407.21,8.47,5.57,5749.69,1.18
407.36,9.87,6.11,6091.16,1.04
404.37,11.32,6.18,6091.16,0.88
408.53,8.29,4.7,6423.19,1.06
414.24,7.34,5.74,6948.8,1.2
404.05,7.74,4.57,6519.57,1.24
398.79,8.39,5.31,5571.9,1.13
403.65,8.03,4.73,5157.94,1.13
376.87,14.6,5.25,5270.16,0.45
412.91,11.23,5.61,5754.68,0.84
403.97,10.46,5.45,5684.73,0.89
418.82,12.63,5.96,6348.89,0.71
395.32,8.89,5.5,6034.17,1.02
404.1,8.2,4.98,5469.9,1.1
402.79,8.9,5.21,5879.5,1.11
407.42,8.47,4.85,5352.08,1.1
410.35,8.76,5.77,6934.94,1.18
423.68,10.89,5.11,5600.61,0.9
422.52,14.3,5.89,6835.37,0.57
435.42,12.68,5.14,4984.49,0.72
396.66,9.33,5.15,5503.9,1.02
377.22,8.7,6.77,6919.65,1.09
438.05,7.93,6.36,6878.67,1.17
432.29,10.65,4.92,6437.88,0.9
406.47,8.79,4.7,6514.56,1.13
412.38,8.56,5.76,6994.98,1.18
398.01,7.47,4.82,5024.4,1.15
397.32,8.48,4.71,5362.52,1.07
436.09,7.72,6.57,6665.15,1.08
402.42,9.79,4.95,5289.02,1.11
407,8.97,4.98,5438.87,1.23
399.98,9.58,5.02,5505.54,1.11
410.78,10.46,5.18,5659.29,1.09
393.86,15.34,5.65,6019.02,0.61
404.95,8.73,4.83,5757.91,1.24
408.82,8.54,5.32,6180.19,1.29
405.89,8.66,5.14,6252.55,1.27
406.9,11.8,5.79,6541.5,0.99
415.35,9.38,5.73,6705.49,1.21
450.74,9.08,6.51,6341.14,1.14
640.16,11.72,6.7,6667.73,0.53
375.31,8.36,6.75,6667.73,1.14
415.28,12.81,5.85,5686.49,0.83
408.69,7.9,4.62,5005.43,1.22
403.96,9.18,4.76,5187.51,1.09
426.08,9.55,4.8,5062.13,1.04
398.04,8,4.67,6191.17,1.1
408.8,8.93,5.69,6984.3,1.05
410.66,10.17,4.84,6392.41,0.94
378.21,8.11,6.76,6625.53,1.11
410.29,12.9,5.78,5649.73,0.77
397.24,8.71,4.85,5009.1,1.02
436.53,8.47,6.08,6921.97,1.2
406.22,9.99,6.09,6960.04,0.95
412.48,8.47,4.7,6545.19,1.1
401.68,9.26,4.88,6504.54,0.92
397.09,9.85,5.44,5862.54,1.04
401.01,7.59,4.61,5050.27,1.22
426.83,11.14,5.09,5278.03,0.9
374.09,8.29,6.77,6439.76,1.08
378.61,8.67,6.77,6439.76,1.09
352.15,11.7,6.5,6281,0.92
408.43,11.68,6.3,6130.41,0.9
410.93,12.41,5.65,5499.17,0.82
402.44,9.69,5.86,5995.46,1.05
387.46,15.42,5.19,4998.77,0.52
412.61,7.77,4.78,5362.43,1.22
415.09,8.8,4.67,5204.87,1.13
426.83,13.02,5.31,5706.37,0.75
418.36,7.57,4.64,6739.01,1.16
440.5,12.73,5.15,6739.01,0.64
409.12,10.18,4.92,5483.66,1.02
416.32,8.56,5.29,6642.3,1.08
421.98,11.96,6.17,7074.69,0.82
435.51,9.96,6.38,6932.53,1.08
437.31,8.84,6.3,6932.53,1.21
442.95,11.55,4.91,6595.99,0.95
411.9,8.97,4.69,6709.72,1.1
406.53,8.44,4.96,6935.94,1.28
399.53,9.45,5.11,5904.07,1.13
398.95,9.85,5.82,6387.12,1.09
380.9,10.57,6.79,6852.5,1.1
485.74,9.08,6.7,6979.4,1.38
400.1,7.78,4.63,6438.08,1.15
424.76,10.53,4.9,6438.08,0.91
398.07,9.11,4.79,6063.56,1.04
419.93,12.48,5.28,6227.47,0.7
403.17,9.41,5.5,7010.32,1.08
401.42,9.43,5.55,6944.8,1.1
417.71,13.68,5.79,6944.8,0.69
447.74,10.77,4.95,6779.89,0.84
421.44,9.32,4.83,6779.89,0.96
414.12,8.47,5.06,5500.71,1.11
406.11,9.21,5.67,6599.1,1.22
410.59,10.17,6.14,6416.94,1.17
479.52,9.01,6.71,6894.8,1.31
487.99,9.49,6.69,6998.14,1.43
430.16,10.92,4.82,6636.71,1.06
447.03,13.16,5.02,6636.71,0.84
